type,color,price,sells,month
blouse,red,79.05,21,4
blouse,blue,74.26,15,12
blouse,red,40.82,53,4
blouse,green,34.96,118,10
blouse,flower,24.69,115,11
blouse,beige,50.52,76,10
blouse,green,53.63,75,4
blouse,green,50.98,79,10
blouse,flower,47.47,28,12
blouse,brown,22.93,23,12
blouse,pink,64.84,31,8
blouse,white,55.99,78,4
blouse,yellow,38.27,10,6
blouse,black,62.76,11,12
blouse,beige,66.34,72,3
blouse,red,36.55,5,7
blouse,blue,36.42,16,1
blouse,green,35.64,70,4
blouse,blue,29.51,26,6
blouse,blue,41.12,9,1
blouse,white,36.98,33,6
blouse,brown,66.26,11,2
blouse,green,41.2,107,11
blouse,white,47.25,37,7
blouse,black,53.68,77,9
blouse,flower,79.9,19,1
blouse,white,54.27,39,8
blouse,yellow,44,25,6
blouse,brown,26.7,64,4
blouse,brown,54.3,52,11
boots,flower,144.16,29,6
boots,grey,103.91,22,7
boots,beige,65.3,99,2
boots,beige,155.9,11,6
boots,grey,87.14,46,8
boots,blue,66.42,57,4
boots,white,104.46,37,9
boots,yellow,123.74,36,11
boots,blue,92.85,71,2
boots,blue,168.05,42,10
boots,yellow,68.17,71,2
boots,brown,177.26,51,11
boots,beige,66.78,46,5
boots,green,171.09,12,5
boots,black,61.29,37,8
boots,pink,168.66,18,12
boots,white,73.02,28,6
boots,black,82.9,46,12
boots,grey,148.27,42,1
boots,pink,156.68,57,2
boots,yellow,74.45,118,12
boots,white,170.4,2,6
boots,red,105.35,40,8
boots,beige,100.57,79,12
boots,blue,135.38,15,8
boots,white,152.79,53,12
boots,pink,112.37,19,7
boots,green,171.11,27,1
boots,yellow,117.18,27,8
boots,flower,149.05,53,11
boots,red,105.87,37,6
boots,pink,146.36,25,8
boots,blue,164.58,20,8
boots,blue,78.45,81,11
boots,pink,149.25,65,12
boots,flower,140.23,78,2
boots,blue,138.58,30,10
boots,black,175.14,9,7
boots,green,80.61,58,1
boots,red,153.06,28,2
boots,blue,98.14,42,5
boots,brown,134.52,26,4
boots,beige,83.3,101,10
boots,blue,99.65,110,1
boots,pink,173.75,29,1
boots,red,178.76,46,12
boots,pink,174.73,13,7
boots,blue,128.12,32,3
boots,brown,87.49,23,4
boots,green,162.7,62,11
boots,beige,142.36,56,9
boots,red,141.68,63,1
boots,brown,142.52,31,10
boots,grey,66.12,24,8
boots,red,85.07,40,11
boots,blue,61.93,65,1
boots,black,65.22,71,2
boots,grey,72.45,88,12
boots,green,89.16,23,4
boots,grey,124.18,30,8
boots,red,103.8,15,7
boots,green,142.34,23,11
boots,pink,167.05,61,2
boots,flower,70.2,84,12
boots,blue,91.16,95,9
boots,white,110.83,12,5
boots,beige,160.02,38,10
boots,grey,129.64,35,8
boots,yellow,104.83,55,2
boots,yellow,90.61,30,4
boots,beige,97.48,114,11
boots,white,174.36,14,10
boots,red,168.13,19,3
boots,red,143.58,9,5
boots,black,119.54,34,3
boots,white,120.59,39,10
boots,black,77.62,105,10
boots,beige,102.01,15,3
boots,flower,112.05,96,10
boots,black,81.76,54,1
boots,blue,165.02,28,12
boots,yellow,116.37,13,5
boots,black,155.1,2,3
boots,blue,81.65,23,4
boots,white,151.22,52,9
boots,brown,88.98,19,3
boots,flower,154.71,17,8
boots,pink,83.83,38,4
boots,flower,65.03,58,10
boots,blue,149.8,5,4
boots,yellow,154.75,32,7
boots,white,102.03,94,9
boots,pink,132.48,22,3
boots,pink,99.33,24,3
boots,red,83.58,73,11
boots,flower,75.62,17,4
boots,white,135.34,35,10
boots,grey,120.06,55,11
boots,red,149.26,33,1
boots,pink,118.16,71,11
boots,flower,140.57,5,8
boots,white,93.21,37,6
boots,green,80.7,105,11
boots,blue,166.63,39,9
boots,grey,115.52,65,2
boots,yellow,170.66,40,12
dress,yellow,112.45,7,9
dress,pink,102.06,13,10
dress,yellow,76.78,40,11
dress,flower,92.48,48,6
dress,beige,60.85,35,2
dress,flower,108.35,13,2
dress,blue,98.55,33,10
dress,black,79.09,12,10
dress,yellow,31.01,32,12
dress,pink,85.32,60,8
dress,flower,48.68,56,7
dress,blue,56.2,46,11
dress,white,39.06,95,4
dress,grey,88.18,77,6
dress,blue,99.29,13,1
dress,brown,42.42,32,2
dress,flower,107.5,29,3
dress,brown,62.91,6,9
dress,white,79.4,77,6
dress,beige,72.69,106,6
dress,brown,42.54,17,11
dress,blue,49.74,4,9
dress,yellow,41.13,40,1
dress,yellow,74.6,57,8
dress,flower,53.67,111,6
dress,yellow,40.77,123,8
dress,grey,94.53,39,6
dress,yellow,89.03,63,8
dress,flower,56.89,101,4
dress,brown,48.22,30,12
dress,grey,34.45,80,6
dress,flower,48.46,7,2
dress,grey,84.56,23,10
dress,black,112.11,16,10
dress,red,115.55,16,11
dress,pink,103.57,43,6
dress,beige,87.93,27,5
dress,flower,44.46,55,5
dress,blue,38.4,24,11
dress,red,111.65,18,12
dress,pink,84.31,39,8
dress,pink,41.48,54,2
dress,brown,115.49,18,4
dress,pink,118.96,11,9
dress,grey,105.79,20,2
dress,red,75.32,12,9
dress,brown,59.52,45,12
dress,beige,77.49,27,9
dress,blue,38.66,45,6
dress,blue,53.15,54,10
dress,pink,95.36,53,4
dress,red,71.01,96,6
dress,flower,73.93,16,9
dress,flower,41.57,27,10
dress,blue,87.3,60,5
dress,pink,60.38,91,3
dress,pink,35.01,33,10
dress,grey,107.88,10,12
dress,brown,105.83,0,1
dress,beige,68.82,23,12
dress,yellow,32.58,55,2
dress,blue,99.2,49,7
dress,grey,40.51,50,11
dress,red,59.24,61,6
dress,yellow,50.15,42,4
dress,green,45.34,116,5
dress,beige,87.47,20,12
dress,blue,105.54,23,2
dress,flower,95.16,10,2
dress,flower,117.93,13,12
dress,pink,52.29,87,6
dress,beige,72.75,7,10
dress,grey,75.84,100,4
dress,beige,51.79,40,12
dress,red,114.59,11,12
dress,yellow,65.22,13,1
dress,green,71.68,90,7
dress,red,95.75,6,11
dress,yellow,32.6,55,2
dress,beige,51.43,49,6
dress,brown,81.2,45,8
dress,white,99.75,16,2
dress,grey,71.79,14,1
dress,black,95.03,58,8
dress,white,95.44,23,10
dress,black,36.14,12,11
dress,flower,72.02,10,11
dress,beige,46.78,30,1
dress,black,111.61,9,1
dress,pink,113.19,37,7
dress,beige,44.54,45,12
dress,black,86.25,71,7
dress,grey,103.91,54,3
dress,green,71.36,22,10
dress,black,31.98,14,9
dress,grey,112.38,21,3
dress,pink,40.37,34,10
dress,beige,112.61,27,8
dress,blue,66.93,16,9
dress,green,52.78,32,2
dress,white,93.98,51,3
dress,blue,50.14,93,4
dress,grey,68.87,25,11
dress,beige,78.31,93,5
dress,grey,60.26,78,4
dress,pink,77.18,28,12
dress,white,32.71,63,6
dress,beige,51.33,126,6
dress,green,58.03,18,11
dress,beige,71.89,72,5
dress,red,75.33,30,2
dress,beige,79.96,77,3
dress,yellow,103.78,22,1
dress,beige,51.54,70,7
dress,flower,78.56,34,11
dress,black,83.83,71,4
hat,beige,21.08,44,12
hat,white,11.74,50,3
hat,white,13.19,80,6
hat,grey,31.94,69,6
hat,blue,15.62,114,7
hat,grey,37.22,8,11
hat,grey,33.08,46,7
hat,blue,18.37,91,7
hat,pink,21.71,44,2
hat,yellow,22.13,36,3
hat,black,12.96,48,10
hat,pink,29.11,32,4
hat,grey,29.39,27,2
hat,white,24.98,8,2
hat,blue,14.5,87,7
hat,blue,37.44,24,2
hat,black,37.21,22,12
hat,flower,36.77,18,10
hat,flower,13.07,10,4
hat,red,39.28,19,12
hat,beige,12.64,28,12
hat,green,27.45,10,5
hat,pink,11.61,21,5
hat,green,38.54,35,6
hat,brown,35.38,30,4
hat,beige,30.17,14,10
hat,blue,14.84,46,5
hat,yellow,10.89,31,12
hat,green,38.19,18,9
hat,green,22.09,39,3
hat,yellow,20.67,19,5
hat,red,12.49,28,11
hat,green,19.83,22,9
hat,pink,29.14,23,1
hat,red,10.47,56,10
hat,beige,23.11,36,10
hat,black,23.28,19,9
hat,brown,11.56,18,3
hat,beige,36.4,7,2
hat,black,31.71,23,6
hat,white,24.23,33,12
hat,beige,12.55,17,3
hat,green,10.71,35,9
hat,black,23.02,50,7
hat,yellow,25.25,28,10
hat,beige,25.15,27,10
hat,brown,16.67,8,4
hat,yellow,18.5,18,3
hat,beige,15.27,23,5
hat,flower,21.19,29,1
hat,grey,18.3,56,7
hat,flower,28.25,13,3
hat,green,16.36,25,10
hat,green,38.17,13,5
hat,pink,20.01,6,12
hat,black,29.16,47,6
hat,pink,14.32,11,12
hat,blue,14.81,10,2
hat,pink,14.8,31,10
hat,grey,38.72,12,10
hat,green,16.24,10,1
hat,beige,14.39,24,9
hat,flower,17.26,116,6
hat,brown,29.69,14,11
hat,grey,27.86,24,11
hat,red,32.85,21,4
hat,blue,35.08,15,2
hat,grey,12.04,42,5
hat,blue,38.2,21,6
hat,black,26.5,63,8
hat,beige,14.36,37,1
hat,pink,12.98,10,10
hat,pink,22.65,21,5
hat,green,11.39,35,10
hat,green,16.61,23,11
hat,green,15.76,30,5
hat,black,38.48,5,5
hat,brown,38.55,18,1
hat,pink,17.04,18,11
hat,pink,27.15,27,2
hat,blue,27.02,55,6
hat,blue,10.55,12,5
hat,pink,28.16,22,9
hat,yellow,30.85,2,3
hat,flower,23.02,32,5
hat,black,37.86,12,12
hat,red,37.29,11,5
hat,yellow,12.98,85,7
hat,green,34.27,7,9
hat,red,12.36,18,10
hat,white,27.28,11,3
hat,red,37.44,5,3
hat,pink,33.02,9,10
hat,black,17.53,53,6
hat,grey,25.27,35,1
hat,brown,17.99,75,6
hat,green,25.78,34,4
hat,black,16.7,114,8
hat,black,31.7,42,8
hat,blue,17.45,110,6
hat,yellow,26.31,26,7
hat,red,30.51,5,2
hat,flower,15.58,10,10
hat,yellow,33.32,5,12
hat,red,26.94,6,10
hat,green,10.58,80,6
hat,brown,26.35,11,12
hat,pink,37.01,28,7
hat,white,25.88,7,5
hat,red,19.61,37,4
hat,green,12.91,139,6
hat,green,36.31,52,8
hat,black,15.62,32,12
hat,blue,24.71,57,7
heels,pink,43.12,58,10
heels,red,121.55,14,2
heels,beige,58.35,58,6
heels,red,62.5,103,7
heels,white,77.87,69,6
heels,pink,82.68,18,10
heels,beige,122.04,27,2
heels,beige,139.16,38,4
heels,green,128.19,9,12
heels,brown,67.86,50,4
heels,grey,94.87,40,9
heels,brown,145.58,33,4
heels,brown,56.05,33,9
heels,flower,40.96,109,4
heels,pink,84.86,12,2
heels,brown,130.95,15,10
heels,black,124.55,8,11
heels,beige,75.64,105,5
heels,white,42.15,41,10
heels,black,92.24,84,3
heels,grey,90.77,98,7
heels,beige,76.71,42,10
heels,grey,143.68,25,4
heels,grey,63.95,42,7
heels,red,58.04,73,8
heels,grey,107.53,69,4
heels,pink,90.78,33,5
heels,blue,108.54,84,8
heels,black,130.25,31,7
heels,flower,50.1,107,5
heels,black,146.66,15,10
heels,white,132.02,12,1
heels,black,121.01,35,7
heels,red,139.4,20,4
heels,green,110.23,7,10
heels,beige,50.04,93,8
heels,blue,59.57,8,10
heels,yellow,139.61,5,10
heels,blue,71.68,16,10
heels,white,145.68,8,9
heels,white,58.87,77,5
heels,flower,134.81,18,10
heels,beige,102.5,10,9
heels,flower,47.04,83,4
heels,flower,135.53,32,5
heels,yellow,58.57,96,3
heels,pink,74.24,52,8
heels,pink,60.18,42,7
heels,flower,109.48,38,8
heels,blue,43.19,46,12
heels,yellow,59.4,26,2
heels,flower,145.27,21,3
heels,pink,51.3,129,5
heels,grey,90.25,26,10
heels,yellow,81.41,61,7
heels,blue,144.78,28,7
heels,yellow,41.38,131,3
heels,yellow,43.84,67,3
heels,black,83.5,9,10
heels,yellow,124.57,20,12
heels,flower,44.1,57,3
heels,grey,65.14,98,3
heels,white,135.21,17,9
heels,yellow,111.9,48,7
heels,beige,94.44,20,2
heels,brown,72.79,71,5
heels,red,76.8,12,2
heels,grey,146.7,43,8
heels,pink,134.62,11,1
heels,flower,50.74,13,12
heels,flower,56.89,116,3
heels,black,40.4,117,4
heels,yellow,89.35,70,5
heels,pink,130.33,21,2
heels,blue,40.92,111,5
heels,yellow,68.28,33,1
heels,black,127.25,35,8
heels,beige,91.17,73,4
heels,blue,78.49,44,3
heels,black,51.79,23,11
heels,brown,47.16,45,10
heels,pink,69.72,23,10
heels,flower,54.25,32,1
heels,blue,56.74,127,8
heels,black,84.76,87,8
heels,black,122.47,32,5
heels,pink,101.46,41,1
heels,flower,77.43,14,10
heels,pink,108.8,27,9
heels,white,127.01,23,1
heels,grey,45.33,98,7
heels,red,97.75,77,3
heels,black,65.06,52,1
heels,grey,126.33,27,10
heels,green,106.03,79,4
heels,white,46.69,56,6
heels,blue,57.64,81,6
heels,green,79.81,33,12
heels,green,116.24,16,2
heels,beige,135.49,46,3
heels,grey,147.44,3,9
heels,red,131.25,44,6
heels,black,49.09,56,7
heels,grey,62.22,16,10
heels,brown,127.07,16,11
heels,blue,99.06,15,9
heels,blue,147.78,35,8
heels,white,128.27,23,2
heels,brown,116.29,22,3
heels,yellow,135.94,38,8
heels,red,60.15,36,12
heels,black,94.13,20,10
heels,red,120.79,58,7
heels,pink,45.14,127,3
heels,yellow,125.55,38,3
heels,red,66.97,51,7
heels,beige,116.43,41,4
heels,pink,69.87,8,2
heels,beige,137.88,15,10
heels,green,98.03,28,6
heels,red,69.1,74,7
heels,pink,114.71,79,3
heels,grey,81.18,61,4
heels,beige,62.15,120,6
heels,blue,112.58,11,1
heels,grey,132.35,6,9
heels,green,64.69,100,8
heels,blue,73.55,11,9
heels,black,80.96,35,9
heels,pink,64.44,42,12
heels,grey,105.34,71,6
heels,red,42.57,36,12
heels,pink,41.85,46,9
heels,red,118.97,36,3
heels,red,97.51,49,6
heels,flower,112.85,73,3
heels,green,88.59,19,10
hoodie,beige,61.96,41,7
hoodie,red,46.14,104,4
hoodie,grey,99.11,45,3
hoodie,yellow,68.24,73,12
hoodie,black,47.96,40,5
hoodie,flower,80.36,52,1
hoodie,brown,62.64,14,8
hoodie,white,90.24,16,6
hoodie,grey,65.91,87,10
hoodie,pink,80.48,45,10
hoodie,pink,84.87,31,6
hoodie,brown,99.44,17,8
hoodie,black,37.38,125,3
hoodie,brown,76.14,9,8
hoodie,flower,76.3,9,7
hoodie,brown,43.52,111,12
hoodie,pink,45.99,119,10
hoodie,brown,41.1,53,4
hoodie,grey,55.11,42,8
hoodie,beige,38.22,100,9
hoodie,red,52.17,63,5
hoodie,flower,97.79,28,12
hoodie,red,55.55,108,2
hoodie,beige,94.68,13,9
hoodie,beige,91.37,32,11
hoodie,red,77.8,72,11
hoodie,flower,55.57,108,4
hoodie,flower,89.2,23,8
hoodie,black,62.56,22,8
hoodie,blue,47.44,107,3
hoodie,beige,34.03,60,12
hoodie,beige,98.75,36,2
hoodie,green,51.3,92,12
hoodie,grey,41.94,93,3
hoodie,beige,59.17,55,9
hoodie,grey,99.98,47,12
hoodie,green,81.28,40,9
hoodie,pink,67.01,38,11
hoodie,black,33.56,96,10
hoodie,flower,92.73,11,6
hoodie,brown,73.9,39,5
hoodie,beige,84.04,2,7
hoodie,flower,74.8,40,9
hoodie,white,78.02,39,5
hoodie,black,62.01,42,7
hoodie,beige,95.58,23,12
hoodie,black,39.31,58,2
hoodie,green,92.89,11,6
hoodie,white,85.72,20,6
hoodie,yellow,96.38,24,9
hoodie,green,65.8,83,4
hoodie,green,94.38,51,1
hoodie,black,61.83,105,4
hoodie,green,30.54,48,4
hoodie,black,82.57,37,3
hoodie,black,87.89,68,9
hoodie,yellow,52.2,21,8
hoodie,flower,82.36,62,9
hoodie,grey,77.38,70,12
hoodie,white,86.55,16,8
hoodie,black,42.08,92,1
hoodie,pink,86.8,59,10
hoodie,brown,43.36,30,8
hoodie,brown,47.64,35,6
hoodie,white,94.72,39,5
hoodie,pink,75.89,45,5
hoodie,red,47.7,17,6
hoodie,grey,32.19,53,2
hoodie,brown,67.65,45,4
hoodie,red,44.57,58,1
hoodie,brown,49.18,65,3
hoodie,red,67.8,94,9
hoodie,red,33.61,92,11
hoodie,black,48.89,54,1
hoodie,flower,31.07,89,10
hoodie,black,58.38,83,9
hoodie,black,84.28,47,4
hoodie,black,50.77,60,11
hoodie,pink,45.84,65,9
hoodie,brown,56.33,68,5
hoodie,black,87.09,22,7
hoodie,grey,53.57,100,12
hoodie,red,64.07,17,6
hoodie,brown,37.79,55,4
hoodie,flower,80.23,37,3
hoodie,blue,42.59,83,5
hoodie,black,57.01,46,12
hoodie,pink,60.07,17,6
hoodie,yellow,77.51,60,5
hoodie,blue,38.15,78,1
hoodie,brown,47.89,119,11
hoodie,green,66.39,2,7
hoodie,white,59.02,84,5
hoodie,blue,36.78,18,6
hoodie,brown,78.46,31,5
hoodie,beige,78.06,19,6
hoodie,yellow,43.06,106,11
hoodie,green,73.87,79,4
hoodie,grey,36.83,101,9
hoodie,brown,55.55,29,7
hoodie,black,74.8,53,1
hoodie,brown,56.56,47,4
hoodie,flower,31.72,77,10
hoodie,beige,39.06,54,11
hoodie,pink,75.58,36,7
hoodie,white,82.27,56,12
hoodie,red,76.69,59,1
hoodie,flower,89.5,25,6
hoodie,beige,35.88,103,2
hoodie,grey,92.85,39,10
hoodie,blue,57.4,39,10
hoodie,green,99.51,41,3
hoodie,black,56.19,42,6
hoodie,white,32.44,66,12
hoodie,yellow,96.93,6,8
hoodie,black,38.62,56,6
hoodie,black,65.45,83,3
hoodie,yellow,42.57,134,1
hoodie,white,73.63,36,8
hoodie,green,55.73,41,11
hoodie,blue,72.94,38,12
hoodie,white,91.22,38,3
hoodie,flower,31.73,71,10
hoodie,grey,52.56,88,9
hoodie,brown,83.44,63,12
hoodie,yellow,58.63,41,5
hoodie,black,72.56,76,4
hoodie,brown,72.7,35,2
hoodie,black,35.91,112,12
hoodie,beige,41.5,72,1
hoodie,black,60.16,47,2
hoodie,yellow,81.29,41,12
hoodie,pink,45.54,45,12
hoodie,red,96.52,17,3
jacket,white,106.82,13,5
jacket,black,177.96,62,2
jacket,blue,166.58,40,1
jacket,white,132.18,42,3
jacket,grey,135.47,41,5
jacket,white,127.5,83,1
jacket,yellow,143.91,60,11
jacket,pink,138.77,91,12
jacket,grey,97.13,57,2
jacket,blue,158.88,27,4
jacket,pink,169.77,13,6
jacket,blue,82.87,47,5
jacket,yellow,142.17,82,11
jacket,green,80.64,10,6
jacket,green,113.08,15,5
jacket,green,195.27,48,12
jacket,green,100.24,50,6
jacket,black,129.88,64,2
jacket,black,170.49,58,1
jacket,black,115.25,89,11
jacket,black,137.66,69,1
jacket,flower,146.84,14,5
jacket,grey,89.88,111,11
jacket,blue,142.75,32,3
jacket,pink,144.44,22,8
jacket,flower,83.2,10,7
jacket,beige,195.63,27,12
jacket,blue,135.79,48,11
jacket,red,88.71,44,8
jacket,black,171.94,22,4
jacket,white,108.31,32,5
jacket,flower,116.25,71,11
jacket,pink,86.49,40,5
jacket,grey,98.39,46,7
jacket,yellow,130.96,63,1
jacket,white,166.96,43,12
jacket,pink,173.66,8,8
jacket,pink,102.89,90,2
jacket,red,104.19,55,3
jacket,pink,94.38,134,11
jacket,beige,95.33,31,6
jacket,red,144.64,33,3
jacket,white,144.6,31,6
jacket,brown,127.33,13,6
jacket,blue,173.01,30,5
jacket,green,122.27,36,9
jacket,green,115.41,18,7
jacket,pink,127.3,34,5
jacket,brown,82.32,67,11
jacket,pink,133.35,27,4
jacket,yellow,114.79,44,6
jacket,blue,195.67,8,8
jacket,flower,83.11,121,10
jacket,black,166.12,73,11
jacket,pink,112.46,8,5
jacket,green,114.96,95,9
jacket,red,123.54,109,1
jacket,white,101.32,97,2
jacket,white,129.94,34,10
jacket,grey,180.61,43,1
jacket,brown,138.2,39,2
jacket,blue,158.67,48,11
jacket,black,93.84,55,8
jacket,green,195.6,41,12
jacket,flower,96.23,33,8
jacket,flower,168,21,4
jacket,pink,171.38,45,12
jacket,brown,110.42,11,6
jacket,blue,124.56,13,8
jacket,yellow,184.06,19,8
jacket,beige,89.61,42,5
jacket,blue,167.31,10,3
jacket,green,84.24,104,10
jacket,green,101.35,45,6
jacket,brown,174.38,59,1
jacket,black,149.68,60,12
jacket,red,137.78,92,10
jacket,blue,187.71,13,9
jacket,flower,84.24,50,7
jacket,black,144.96,90,11
jacket,blue,107.09,50,6
jacket,white,131.24,3,4
jacket,flower,147.38,32,9
jacket,beige,163.83,83,2
jacket,pink,173.16,37,12
jacket,green,198.28,2,4
jacket,flower,167.88,29,12
jacket,brown,143.03,98,2
jacket,grey,129.32,104,2
jacket,blue,106.95,49,4
jacket,flower,180.88,14,4
jacket,grey,161.64,37,12
jacket,pink,195.02,9,5
jacket,green,106.16,35,5
jacket,white,187.94,17,5
jacket,yellow,98.23,30,3
jacket,red,100.94,31,3
jacket,yellow,102.24,94,1
jacket,yellow,192.13,5,6
jacket,pink,147.13,15,4
jacket,black,127.08,42,6
jacket,blue,90.38,49,11
jacket,flower,169,29,8
jacket,flower,123.22,33,8
jacket,yellow,94.98,50,8
jacket,blue,189.86,32,1
jacket,yellow,103.15,126,11
jacket,black,157.65,62,2
jacket,blue,92.26,60,10
jacket,yellow,158.13,34,10
jacket,brown,82.13,38,8
jacket,beige,162.61,30,9
jacket,flower,150.69,54,12
jacket,white,181.89,9,3
jacket,grey,189.67,11,7
jeans,white,53.51,50,7
jeans,grey,105.1,10,6
jeans,white,115.66,7,6
jeans,green,36.16,126,1
jeans,blue,45.08,21,6
jeans,brown,58.56,38,7
jeans,green,105.97,22,4
jeans,pink,46.01,31,6
jeans,black,82.13,62,11
jeans,white,105.48,15,8
jeans,white,71.29,104,11
jeans,pink,58.18,95,9
jeans,beige,99.9,56,12
jeans,green,110.59,56,9
jeans,grey,103.92,25,5
jeans,black,49.44,37,1
jeans,yellow,45.71,53,10
jeans,brown,99.13,11,5
jeans,red,81.99,69,11
jeans,beige,108.25,49,11
jeans,grey,34.37,16,3
jeans,pink,116.6,33,9
jeans,brown,109.4,30,10
jeans,white,105.49,3,6
jeans,beige,116.31,39,9
jeans,red,74.87,54,10
jeans,red,99.14,32,7
jeans,white,91.82,6,6
jeans,red,110.01,17,8
jeans,brown,70.99,39,5
jeans,white,84.14,2,4
jeans,white,38.89,110,1
jeans,black,101.48,48,9
jeans,yellow,42.32,116,11
jeans,yellow,100.22,43,11
jeans,grey,114.49,21,3
jeans,grey,50.2,22,8
jeans,blue,51.03,79,11
jeans,beige,119.81,33,9
jeans,flower,67.79,43,6
jeans,blue,100.37,54,1
jeans,green,89.01,15,4
jeans,flower,77.72,75,11
jeans,yellow,105.97,47,11
jeans,red,102.85,27,5
jeans,brown,89.69,68,2
jeans,black,98.61,68,9
jeans,grey,71.35,79,2
jeans,beige,97.6,14,6
jeans,brown,71.71,99,1
jeans,yellow,34.12,38,6
jeans,red,74.41,96,2
jeans,grey,49.94,14,3
jeans,black,65.68,86,11
jeans,blue,31.87,153,2
jeans,black,86.91,43,11
jeans,flower,85.62,26,6
jeans,flower,38.99,64,12
jeans,white,86.84,49,10
jeans,black,50.54,41,3
jeans,green,30.15,23,6
jeans,pink,49.17,50,5
jeans,flower,119.01,20,4
jeans,red,34.1,115,10
jeans,green,89.02,36,7
jeans,brown,89.12,14,3
jeans,white,67.53,28,3
jeans,white,32.82,51,7
jeans,pink,37.25,8,6
jeans,pink,64.71,28,8
jeans,beige,71.21,46,12
jeans,beige,111.92,21,9
jeans,pink,36.83,132,1
jeans,blue,48.04,40,9
jeans,green,37.72,141,10
jeans,blue,118.3,16,8
jeans,red,47.44,61,11
jeans,blue,97.49,5,5
jeans,blue,30.47,144,9
jeans,white,45.17,32,7
jeans,green,66.35,52,9
jeans,red,57.72,3,6
jeans,blue,69.18,39,1
jeans,green,70.4,38,4
jeans,pink,89.29,17,3
jeans,flower,96.08,5,3
jeans,blue,89.69,35,1
jeans,white,32.32,83,2
jeans,beige,44.75,32,6
jeans,beige,71.61,33,4
jeans,flower,81.71,82,1
jeans,green,51.19,75,9
jeans,beige,44.24,123,11
jeans,red,34.92,25,7
jeans,blue,69.09,74,2
jeans,red,113.74,17,4
jeans,pink,84.95,66,2
jeans,blue,68.22,36,6
jeans,green,62.45,22,3
jeans,red,114.6,9,4
jeans,red,118.77,8,4
jeans,green,93.79,36,10
jeans,red,32.84,61,8
jeans,yellow,56.89,112,9
jeans,grey,83.27,67,9
jeans,black,73.19,37,8
jeans,white,97.65,28,4
jeans,pink,101.99,63,10
jeans,beige,47.66,93,9
jeans,green,69.8,79,12
jeans,red,89.11,5,5
jeans,black,91.78,7,6
jeans,yellow,45.82,51,2
jeans,grey,109.72,25,2
jeans,flower,51.46,37,3
jeans,white,58.27,83,9
jeans,blue,98.37,11,8
jeans,pink,111.9,61,9
jeans,flower,88.51,70,9
jeans,beige,46.68,18,4
jeans,brown,67.18,70,2
jeans,red,33.06,116,9
jeans,white,49.36,17,8
jeans,green,105.93,21,4
jeans,black,66.18,103,10
jeans,blue,42.23,23,8
jeans,beige,71.51,9,7
jeans,red,81.44,61,2
jeans,brown,54.5,49,12
jeans,yellow,44.59,31,5
jeans,pink,107.67,37,11
jeans,red,90.97,30,3
jeans,brown,71.99,72,10
jeans,red,76.02,56,11
jeans,red,63.8,5,5
jeans,beige,64.18,17,5
